"P1","P2","P3","P4","P5","Gold","Silver","Bronze","TotalScore","MedalCount","VT","FX","HB","PB","PH","SR"
"christopulos_taylor_troy","hong_asher","richard_frederick","malone_brody","phillips_curran",2,1,2,166,3,"phillips_curran, hong_asher, malone_brody, richard_frederick","hong_asher, richard_frederick, christopulos_taylor_troy, phillips_curran","hong_asher, richard_frederick, christopulos_taylor_troy, malone_brody","hong_asher, richard_frederick, malone_brody, phillips_curran","christopulos_taylor_troy, hong_asher, malone_brody, phillips_curran","hong_asher, christopulos_taylor_troy, phillips_curran, richard_frederick"
"walker_colt","christopulos_taylor_troy","loos_riley","malone_brody","whittenburg_donnell",2,1,1,165,3,"christopulos_taylor_troy, walker_colt, whittenburg_donnell, malone_brody","christopulos_taylor_troy, malone_brody, whittenburg_donnell, walker_colt","walker_colt, whittenburg_donnell, christopulos_taylor_troy, loos_riley","malone_brody, walker_colt, whittenburg_donnell, christopulos_taylor_troy","walker_colt, loos_riley, whittenburg_donnell, malone_brody","walker_colt, christopulos_taylor_troy, whittenburg_donnell, malone_brody"
"christopulos_taylor_troy","moldauer_yul","loos_riley","phillips_curran","nedoroscik_stephen",3,0,1,165,3,"christopulos_taylor_troy, loos_riley, nedoroscik_stephen, moldauer_yul","moldauer_yul, phillips_curran, christopulos_taylor_troy, nedoroscik_stephen","moldauer_yul, phillips_curran, christopulos_taylor_troy, nedoroscik_stephen","nedoroscik_stephen, moldauer_yul, christopulos_taylor_troy, loos_riley","moldauer_yul, christopulos_taylor_troy, phillips_curran, loos_riley","phillips_curran, loos_riley, moldauer_yul, nedoroscik_stephen"
"karnes_joshua_andrew","hong_asher","richard_frederick","malone_brody","nedoroscik_stephen",1,3,1,163,4,"nedoroscik_stephen, richard_frederick, karnes_joshua_andrew, malone_brody","nedoroscik_stephen, malone_brody, hong_asher, karnes_joshua_andrew","hong_asher, nedoroscik_stephen, richard_frederick, malone_brody","nedoroscik_stephen, richard_frederick, malone_brody, karnes_joshua_andrew","hong_asher, karnes_joshua_andrew, nedoroscik_stephen, malone_brody","richard_frederick, hong_asher, malone_brody, nedoroscik_stephen"
"blixt_landen_paul","walker_colt","malone_brody","skirkey_ian","whittenburg_donnell",1,3,1,162,4,"malone_brody, whittenburg_donnell, walker_colt, blixt_landen_paul","skirkey_ian, malone_brody, blixt_landen_paul, walker_colt","walker_colt, malone_brody, whittenburg_donnell, blixt_landen_paul","walker_colt, whittenburg_donnell, malone_brody, skirkey_ian","malone_brody, walker_colt, blixt_landen_paul, skirkey_ian","malone_brody, blixt_landen_paul, whittenburg_donnell, skirkey_ian"
"wiskus_shane","richard_frederick","loos_riley","malone_brody","whittenburg_donnell",2,2,0,160,4,"malone_brody, richard_frederick, whittenburg_donnell, wiskus_shane","loos_riley, malone_brody, whittenburg_donnell, wiskus_shane","whittenburg_donnell, malone_brody, wiskus_shane, richard_frederick","wiskus_shane, loos_riley, malone_brody, richard_frederick","wiskus_shane, malone_brody, whittenburg_donnell, richard_frederick","malone_brody, wiskus_shane, loos_riley, whittenburg_donnell"
"blixt_landen_paul","moldauer_yul","wiskus_shane","richard_frederick","malone_brody",1,1,1,158,2,"moldauer_yul, richard_frederick, blixt_landen_paul, wiskus_shane","richard_frederick, wiskus_shane, moldauer_yul, malone_brody","richard_frederick, moldauer_yul, malone_brody, wiskus_shane","blixt_landen_paul, moldauer_yul, wiskus_shane, richard_frederick","malone_brody, moldauer_yul, blixt_landen_paul, richard_frederick","malone_brody, blixt_landen_paul, richard_frederick, moldauer_yul"
"blixt_landen_paul","moldauer_yul","loos_riley","malone_brody","skirkey_ian",2,1,1,157,3,"moldauer_yul, malone_brody, blixt_landen_paul, skirkey_ian","blixt_landen_paul, moldauer_yul, skirkey_ian, loos_riley","malone_brody, skirkey_ian, loos_riley, blixt_landen_paul","malone_brody, blixt_landen_paul, loos_riley, skirkey_ian","skirkey_ian, malone_brody, moldauer_yul, loos_riley","moldauer_yul, skirkey_ian, blixt_landen_paul, malone_brody"
"moldauer_yul","wiskus_shane","malone_brody","phillips_curran","whittenburg_donnell",1,2,1,156,3,"whittenburg_donnell, moldauer_yul, phillips_curran, malone_brody","phillips_curran, whittenburg_donnell, wiskus_shane, malone_brody","wiskus_shane, whittenburg_donnell, phillips_curran, moldauer_yul","moldauer_yul, malone_brody, phillips_curran, wiskus_shane","moldauer_yul, wiskus_shane, whittenburg_donnell, malone_brody","wiskus_shane, phillips_curran, whittenburg_donnell, moldauer_yul"
"blixt_landen_paul","hong_asher","moldauer_yul","wiskus_shane","whittenburg_donnell",2,0,1,155,2,"wiskus_shane, hong_asher, blixt_landen_paul, whittenburg_donnell","whittenburg_donnell, blixt_landen_paul, moldauer_yul, wiskus_shane","hong_asher, wiskus_shane, blixt_landen_paul, moldauer_yul","moldauer_yul, wiskus_shane, blixt_landen_paul, hong_asher","wiskus_shane, hong_asher, moldauer_yul, blixt_landen_paul","hong_asher, blixt_landen_paul, moldauer_yul, whittenburg_donnell"
"walker_colt","karnes_joshua_andrew","hong_asher","malone_brody","skirkey_ian",0,4,1,155,4,"hong_asher, skirkey_ian, walker_colt, karnes_joshua_andrew","walker_colt, skirkey_ian, malone_brody, karnes_joshua_andrew","malone_brody, skirkey_ian, hong_asher, walker_colt","karnes_joshua_andrew, hong_asher, skirkey_ian, walker_colt","walker_colt, skirkey_ian, hong_asher, karnes_joshua_andrew","malone_brody, skirkey_ian, walker_colt, hong_asher"
"christopulos_taylor_troy","karnes_joshua_andrew","hong_asher","malone_brody","phillips_curran",1,2,1,155,3,"christopulos_taylor_troy, hong_asher, phillips_curran, karnes_joshua_andrew","christopulos_taylor_troy, hong_asher, karnes_joshua_andrew, malone_brody","karnes_joshua_andrew, malone_brody, christopulos_taylor_troy, hong_asher","christopulos_taylor_troy, malone_brody, karnes_joshua_andrew, phillips_curran","christopulos_taylor_troy, phillips_curran, malone_brody, karnes_joshua_andrew","karnes_joshua_andrew, hong_asher, christopulos_taylor_troy, malone_brody"
"christopulos_taylor_troy","karnes_joshua_andrew","hong_asher","malone_brody","nedoroscik_stephen",1,3,0,154,4,"karnes_joshua_andrew, nedoroscik_stephen, christopulos_taylor_troy, malone_brody","karnes_joshua_andrew, hong_asher, christopulos_taylor_troy, malone_brody","nedoroscik_stephen, christopulos_taylor_troy, karnes_joshua_andrew, malone_brody","hong_asher, christopulos_taylor_troy, nedoroscik_stephen, malone_brody","malone_brody, nedoroscik_stephen, karnes_joshua_andrew, hong_asher","nedoroscik_stephen, malone_brody, christopulos_taylor_troy, hong_asher"
"karnes_joshua_andrew","malone_brody","phillips_curran","nedoroscik_stephen","skirkey_ian",2,1,1,154,3,"phillips_curran, malone_brody, karnes_joshua_andrew, nedoroscik_stephen","karnes_joshua_andrew, malone_brody, nedoroscik_stephen, phillips_curran","phillips_curran, nedoroscik_stephen, skirkey_ian, malone_brody","malone_brody, karnes_joshua_andrew, phillips_curran, nedoroscik_stephen","malone_brody, skirkey_ian, nedoroscik_stephen, karnes_joshua_andrew","karnes_joshua_andrew, skirkey_ian, malone_brody, phillips_curran"
"blixt_landen_paul","hong_asher","malone_brody","phillips_curran","whittenburg_donnell",1,2,1,152,3,"phillips_curran, whittenburg_donnell, blixt_landen_paul, hong_asher","whittenburg_donnell, blixt_landen_paul, hong_asher, phillips_curran","hong_asher, blixt_landen_paul, malone_brody, phillips_curran","phillips_curran, whittenburg_donnell, hong_asher, malone_brody","hong_asher, malone_brody, blixt_landen_paul, whittenburg_donnell","hong_asher, phillips_curran, whittenburg_donnell, blixt_landen_paul"
"blixt_landen_paul","walker_colt","karnes_joshua_andrew","loos_riley","malone_brody",2,1,0,151,3,"blixt_landen_paul, karnes_joshua_andrew, loos_riley, malone_brody","loos_riley, blixt_landen_paul, malone_brody, walker_colt","loos_riley, malone_brody, karnes_joshua_andrew, blixt_landen_paul","blixt_landen_paul, karnes_joshua_andrew, walker_colt, loos_riley","malone_brody, karnes_joshua_andrew, loos_riley, walker_colt","blixt_landen_paul, loos_riley, malone_brody, karnes_joshua_andrew"
"walker_colt","wiskus_shane","richard_frederick","loos_riley","malone_brody",1,1,3,151,2,"loos_riley, walker_colt, richard_frederick, malone_brody","loos_riley, richard_frederick, walker_colt, malone_brody","richard_frederick, malone_brody, loos_riley, walker_colt","wiskus_shane, malone_brody, richard_frederick, walker_colt","malone_brody, loos_riley, walker_colt, richard_frederick","wiskus_shane, richard_frederick, walker_colt, loos_riley"
"walker_colt","wiskus_shane","richard_frederick","nedoroscik_stephen","skirkey_ian",2,0,2,149,2,"richard_frederick, skirkey_ian, nedoroscik_stephen, wiskus_shane","nedoroscik_stephen, skirkey_ian, wiskus_shane, richard_frederick","skirkey_ian, wiskus_shane, nedoroscik_stephen, richard_frederick","walker_colt, richard_frederick, skirkey_ian, nedoroscik_stephen","walker_colt, wiskus_shane, skirkey_ian, nedoroscik_stephen","wiskus_shane, nedoroscik_stephen, richard_frederick, walker_colt"
"walker_colt","hong_asher","moldauer_yul","wiskus_shane","richard_frederick",1,1,3,147,2,"moldauer_yul, wiskus_shane, richard_frederick, walker_colt","wiskus_shane, moldauer_yul, richard_frederick, walker_colt","wiskus_shane, moldauer_yul, hong_asher, walker_colt","richard_frederick, hong_asher, moldauer_yul, walker_colt","richard_frederick, wiskus_shane, walker_colt, moldauer_yul","moldauer_yul, walker_colt, richard_frederick, wiskus_shane"
"walker_colt","richard_frederick","malone_brody","phillips_curran","nedoroscik_stephen",2,1,0,145,3,"nedoroscik_stephen, richard_frederick, walker_colt, malone_brody","phillips_curran, nedoroscik_stephen, malone_brody, walker_colt","richard_frederick, nedoroscik_stephen, walker_colt, malone_brody","walker_colt, malone_brody, richard_frederick, nedoroscik_stephen","richard_frederick, malone_brody, phillips_curran, nedoroscik_stephen","nedoroscik_stephen, malone_brody, walker_colt, phillips_curran"
"christopulos_taylor_troy","richard_frederick","malone_brody","phillips_curran","whittenburg_donnell",0,3,1,141,3,"phillips_curran, christopulos_taylor_troy, richard_frederick, whittenburg_donnell","richard_frederick, malone_brody, whittenburg_donnell, christopulos_taylor_troy","malone_brody, phillips_curran, christopulos_taylor_troy, richard_frederick","richard_frederick, christopulos_taylor_troy, phillips_curran, malone_brody","christopulos_taylor_troy, richard_frederick, whittenburg_donnell, malone_brody","christopulos_taylor_troy, richard_frederick, malone_brody, whittenburg_donnell"
"karnes_joshua_andrew","richard_frederick","malone_brody","nedoroscik_stephen","whittenburg_donnell",1,2,1,141,3,"richard_frederick, whittenburg_donnell, karnes_joshua_andrew, malone_brody","malone_brody, nedoroscik_stephen, whittenburg_donnell, richard_frederick","karnes_joshua_andrew, richard_frederick, malone_brody, nedoroscik_stephen","nedoroscik_stephen, richard_frederick, karnes_joshua_andrew, malone_brody","nedoroscik_stephen, karnes_joshua_andrew, malone_brody, whittenburg_donnell","nedoroscik_stephen, whittenburg_donnell, karnes_joshua_andrew, malone_brody"
"blixt_landen_paul","walker_colt","moldauer_yul","malone_brody","skirkey_ian",2,0,1,140,2,"walker_colt, blixt_landen_paul, skirkey_ian, malone_brody","moldauer_yul, blixt_landen_paul, walker_colt, skirkey_ian","blixt_landen_paul, walker_colt, malone_brody, moldauer_yul","moldauer_yul, malone_brody, walker_colt, skirkey_ian","malone_brody, skirkey_ian, moldauer_yul, walker_colt","malone_brody, walker_colt, moldauer_yul, skirkey_ian"
"blixt_landen_paul","hong_asher","moldauer_yul","phillips_curran","whittenburg_donnell",2,0,0,140,2,"moldauer_yul, blixt_landen_paul, hong_asher, whittenburg_donnell","hong_asher, moldauer_yul, phillips_curran, whittenburg_donnell","blixt_landen_paul, phillips_curran, whittenburg_donnell, hong_asher","whittenburg_donnell, blixt_landen_paul, moldauer_yul, phillips_curran","whittenburg_donnell, phillips_curran, moldauer_yul, blixt_landen_paul","moldauer_yul, blixt_landen_paul, hong_asher, whittenburg_donnell"
"karnes_joshua_andrew","wiskus_shane","richard_frederick","malone_brody","skirkey_ian",1,3,0,140,4,"malone_brody, richard_frederick, karnes_joshua_andrew, wiskus_shane","malone_brody, richard_frederick, skirkey_ian, karnes_joshua_andrew","skirkey_ian, wiskus_shane, malone_brody, karnes_joshua_andrew","malone_brody, wiskus_shane, richard_frederick, karnes_joshua_andrew","malone_brody, richard_frederick, karnes_joshua_andrew, skirkey_ian","richard_frederick, malone_brody, wiskus_shane, karnes_joshua_andrew"
"moldauer_yul","wiskus_shane","loos_riley","malone_brody","nedoroscik_stephen",2,0,1,139,2,"wiskus_shane, malone_brody, moldauer_yul, loos_riley","wiskus_shane, loos_riley, moldauer_yul, nedoroscik_stephen","moldauer_yul, malone_brody, nedoroscik_stephen, wiskus_shane","malone_brody, moldauer_yul, wiskus_shane, loos_riley","loos_riley, moldauer_yul, nedoroscik_stephen, malone_brody","loos_riley, malone_brody, wiskus_shane, moldauer_yul"
"moldauer_yul","malone_brody","phillips_curran","nedoroscik_stephen","whittenburg_donnell",2,0,2,139,2,"malone_brody, phillips_curran, moldauer_yul, nedoroscik_stephen","whittenburg_donnell, moldauer_yul, malone_brody, nedoroscik_stephen","nedoroscik_stephen, whittenburg_donnell, moldauer_yul, phillips_curran","malone_brody, phillips_curran, moldauer_yul, whittenburg_donnell","whittenburg_donnell, moldauer_yul, phillips_curran, nedoroscik_stephen","moldauer_yul, phillips_curran, malone_brody, nedoroscik_stephen"
"blixt_landen_paul","karnes_joshua_andrew","moldauer_yul","malone_brody","whittenburg_donnell",2,0,0,138,2,"whittenburg_donnell, moldauer_yul, blixt_landen_paul, karnes_joshua_andrew","moldauer_yul, whittenburg_donnell, malone_brody, karnes_joshua_andrew","karnes_joshua_andrew, moldauer_yul, whittenburg_donnell, blixt_landen_paul","whittenburg_donnell, karnes_joshua_andrew, moldauer_yul, blixt_landen_paul","blixt_landen_paul, karnes_joshua_andrew, moldauer_yul, malone_brody","blixt_landen_paul, malone_brody, whittenburg_donnell, moldauer_yul"
"walker_colt","hong_asher","loos_riley","malone_brody","nedoroscik_stephen",1,1,1,138,2,"hong_asher, nedoroscik_stephen, malone_brody, loos_riley","loos_riley, hong_asher, malone_brody, nedoroscik_stephen","nedoroscik_stephen, malone_brody, loos_riley, hong_asher","walker_colt, loos_riley, nedoroscik_stephen, hong_asher","malone_brody, walker_colt, loos_riley, nedoroscik_stephen","hong_asher, nedoroscik_stephen, malone_brody, walker_colt"
"blixt_landen_paul","karnes_joshua_andrew","moldauer_yul","malone_brody","nedoroscik_stephen",1,2,1,137,3,"karnes_joshua_andrew, nedoroscik_stephen, blixt_landen_paul, moldauer_yul","karnes_joshua_andrew, blixt_landen_paul, nedoroscik_stephen, moldauer_yul","karnes_joshua_andrew, blixt_landen_paul, moldauer_yul, malone_brody","malone_brody, moldauer_yul, blixt_landen_paul, nedoroscik_stephen","karnes_joshua_andrew, blixt_landen_paul, nedoroscik_stephen, malone_brody","moldauer_yul, karnes_joshua_andrew, nedoroscik_stephen, blixt_landen_paul"
"christopulos_taylor_troy","karnes_joshua_andrew","richard_frederick","phillips_curran","nedoroscik_stephen",2,0,1,137,2,"phillips_curran, nedoroscik_stephen, christopulos_taylor_troy, richard_frederick","richard_frederick, phillips_curran, christopulos_taylor_troy, nedoroscik_stephen","phillips_curran, richard_frederick, christopulos_taylor_troy, nedoroscik_stephen","karnes_joshua_andrew, richard_frederick, phillips_curran, christopulos_taylor_troy","karnes_joshua_andrew, phillips_curran, christopulos_taylor_troy, nedoroscik_stephen","karnes_joshua_andrew, nedoroscik_stephen, richard_frederick, phillips_curran"
"christopulos_taylor_troy","karnes_joshua_andrew","richard_frederick","malone_brody","nedoroscik_stephen",1,1,2,136,2,"christopulos_taylor_troy, nedoroscik_stephen, karnes_joshua_andrew, malone_brody","malone_brody, christopulos_taylor_troy, richard_frederick, karnes_joshua_andrew","nedoroscik_stephen, karnes_joshua_andrew, christopulos_taylor_troy, richard_frederick","christopulos_taylor_troy, malone_brody, richard_frederick, karnes_joshua_andrew","nedoroscik_stephen, richard_frederick, karnes_joshua_andrew, malone_brody","karnes_joshua_andrew, nedoroscik_stephen, malone_brody, christopulos_taylor_troy"
"walker_colt","karnes_joshua_andrew","hong_asher","moldauer_yul","malone_brody",1,0,2,134,1,"karnes_joshua_andrew, hong_asher, malone_brody, walker_colt","malone_brody, moldauer_yul, karnes_joshua_andrew, hong_asher","walker_colt, karnes_joshua_andrew, moldauer_yul, hong_asher","walker_colt, karnes_joshua_andrew, malone_brody, hong_asher","hong_asher, malone_brody, karnes_joshua_andrew, moldauer_yul","walker_colt, hong_asher, moldauer_yul, malone_brody"
"walker_colt","karnes_joshua_andrew","hong_asher","moldauer_yul","skirkey_ian",2,0,1,134,2,"skirkey_ian, walker_colt, hong_asher, karnes_joshua_andrew","hong_asher, walker_colt, skirkey_ian, karnes_joshua_andrew","hong_asher, moldauer_yul, walker_colt, karnes_joshua_andrew","karnes_joshua_andrew, hong_asher, walker_colt, moldauer_yul","skirkey_ian, hong_asher, moldauer_yul, karnes_joshua_andrew","walker_colt, moldauer_yul, hong_asher, karnes_joshua_andrew"
"moldauer_yul","wiskus_shane","richard_frederick","phillips_curran","nedoroscik_stephen",2,0,0,134,2,"nedoroscik_stephen, moldauer_yul, phillips_curran, richard_frederick","moldauer_yul, nedoroscik_stephen, phillips_curran, richard_frederick","wiskus_shane, phillips_curran, richard_frederick, nedoroscik_stephen","nedoroscik_stephen, wiskus_shane, moldauer_yul, phillips_curran","moldauer_yul, wiskus_shane, nedoroscik_stephen, richard_frederick","phillips_curran, richard_frederick, nedoroscik_stephen, moldauer_yul"
"blixt_landen_paul","karnes_joshua_andrew","moldauer_yul","wiskus_shane","loos_riley",1,1,1,133,2,"karnes_joshua_andrew, blixt_landen_paul, wiskus_shane, loos_riley","moldauer_yul, karnes_joshua_andrew, wiskus_shane, loos_riley","loos_riley, karnes_joshua_andrew, wiskus_shane, blixt_landen_paul","blixt_landen_paul, loos_riley, moldauer_yul, wiskus_shane","loos_riley, karnes_joshua_andrew, wiskus_shane, blixt_landen_paul","wiskus_shane, blixt_landen_paul, moldauer_yul, loos_riley"
"walker_colt","christopulos_taylor_troy","moldauer_yul","richard_frederick","malone_brody",1,1,2,133,2,"richard_frederick, malone_brody, christopulos_taylor_troy, moldauer_yul","christopulos_taylor_troy, malone_brody, richard_frederick, walker_colt","richard_frederick, malone_brody, walker_colt, christopulos_taylor_troy","malone_brody, richard_frederick, walker_colt, moldauer_yul","malone_brody, christopulos_taylor_troy, moldauer_yul, walker_colt","christopulos_taylor_troy, malone_brody, richard_frederick, moldauer_yul"
"walker_colt","christopulos_taylor_troy","moldauer_yul","malone_brody","whittenburg_donnell",1,2,0,133,3,"malone_brody, moldauer_yul, christopulos_taylor_troy, whittenburg_donnell","whittenburg_donnell, malone_brody, walker_colt, moldauer_yul","moldauer_yul, whittenburg_donnell, walker_colt, malone_brody","walker_colt, malone_brody, christopulos_taylor_troy, whittenburg_donnell","christopulos_taylor_troy, moldauer_yul, malone_brody, walker_colt","whittenburg_donnell, moldauer_yul, malone_brody, walker_colt"
"christopulos_taylor_troy","richard_frederick","loos_riley","malone_brody","nedoroscik_stephen",2,0,0,133,2,"nedoroscik_stephen, christopulos_taylor_troy, richard_frederick, loos_riley","nedoroscik_stephen, christopulos_taylor_troy, richard_frederick, malone_brody","christopulos_taylor_troy, nedoroscik_stephen, loos_riley, malone_brody","richard_frederick, christopulos_taylor_troy, nedoroscik_stephen, loos_riley","nedoroscik_stephen, christopulos_taylor_troy, malone_brody, loos_riley","loos_riley, malone_brody, christopulos_taylor_troy, nedoroscik_stephen"
"walker_colt","christopulos_taylor_troy","loos_riley","malone_brody","skirkey_ian",1,2,1,132,3,"christopulos_taylor_troy, walker_colt, skirkey_ian, malone_brody","malone_brody, loos_riley, skirkey_ian, christopulos_taylor_troy","loos_riley, malone_brody, walker_colt, skirkey_ian","walker_colt, loos_riley, christopulos_taylor_troy, malone_brody","skirkey_ian, walker_colt, loos_riley, malone_brody","loos_riley, skirkey_ian, walker_colt, malone_brody"
"karnes_joshua_andrew","hong_asher","wiskus_shane","loos_riley","malone_brody",2,0,1,132,2,"loos_riley, malone_brody, hong_asher, wiskus_shane","loos_riley, wiskus_shane, malone_brody, karnes_joshua_andrew","loos_riley, malone_brody, hong_asher, wiskus_shane","karnes_joshua_andrew, hong_asher, malone_brody, loos_riley","wiskus_shane, malone_brody, loos_riley, hong_asher","karnes_joshua_andrew, malone_brody, wiskus_shane, hong_asher"
"christopulos_taylor_troy","moldauer_yul","wiskus_shane","richard_frederick","malone_brody",1,2,0,131,3,"richard_frederick, wiskus_shane, christopulos_taylor_troy, malone_brody","christopulos_taylor_troy, moldauer_yul, richard_frederick, wiskus_shane","malone_brody, christopulos_taylor_troy, richard_frederick, wiskus_shane","christopulos_taylor_troy, malone_brody, richard_frederick, moldauer_yul","richard_frederick, malone_brody, wiskus_shane, christopulos_taylor_troy","richard_frederick, christopulos_taylor_troy, wiskus_shane, malone_brody"
"christopulos_taylor_troy","wiskus_shane","malone_brody","phillips_curran","skirkey_ian",2,0,1,131,2,"wiskus_shane, phillips_curran, skirkey_ian, malone_brody","wiskus_shane, phillips_curran, christopulos_taylor_troy, malone_brody","wiskus_shane, phillips_curran, christopulos_taylor_troy, malone_brody","skirkey_ian, christopulos_taylor_troy, wiskus_shane, phillips_curran","wiskus_shane, christopulos_taylor_troy, skirkey_ian, malone_brody","phillips_curran, wiskus_shane, skirkey_ian, malone_brody"
"blixt_landen_paul","moldauer_yul","loos_riley","malone_brody","phillips_curran",2,1,0,130,3,"malone_brody, blixt_landen_paul, phillips_curran, loos_riley","phillips_curran, malone_brody, moldauer_yul, blixt_landen_paul","blixt_landen_paul, phillips_curran, malone_brody, moldauer_yul","blixt_landen_paul, malone_brody, loos_riley, moldauer_yul","loos_riley, phillips_curran, malone_brody, moldauer_yul","phillips_curran, loos_riley, malone_brody, blixt_landen_paul"
