"P1","P2","P3","P4","P5","Gold","Silver","Bronze","TotalScore","MedalCount","VT","BB","UB","FX"
"biles_simone","lee_sunisa","chiles_jordan","blakely_skye","roberson_joscelyn",4,1,0,259,5,"biles_simone, lee_sunisa, blakely_skye, chiles_jordan","roberson_joscelyn, biles_simone, chiles_jordan, blakely_skye","roberson_joscelyn, lee_sunisa, blakely_skye, chiles_jordan","blakely_skye, lee_sunisa, chiles_jordan, biles_simone"
"biles_simone","skinner_mykayla","mc_callum","lee_sunisa","miller_zoe",3,1,2,257,4,"miller_zoe, lee_sunisa, biles_simone, skinner_mykayla","lee_sunisa, mc_callum, skinner_mykayla, biles_simone","miller_zoe, skinner_mykayla, mc_callum, lee_sunisa","biles_simone, miller_zoe, skinner_mykayla, mc_callum"
"biles_simone","mc_callum","lee_sunisa","chiles_jordan","carey_jade",3,2,0,255,5,"carey_jade, mc_callum, biles_simone, chiles_jordan","mc_callum, biles_simone, lee_sunisa, chiles_jordan","lee_sunisa, mc_callum, biles_simone, carey_jade","carey_jade, chiles_jordan, lee_sunisa, biles_simone"
"biles_simone","skinner_mykayla","miller_zoe","carey_jade","roberson_joscelyn",3,1,1,254,4,"skinner_mykayla, biles_simone, miller_zoe, carey_jade","roberson_joscelyn, carey_jade, biles_simone, skinner_mykayla","carey_jade, skinner_mykayla, miller_zoe, roberson_joscelyn","biles_simone, skinner_mykayla, roberson_joscelyn, carey_jade"
"biles_simone","lee_sunisa","blakely_skye","jones_shilese","roberson_joscelyn",3,2,0,253,5,"jones_shilese, lee_sunisa, blakely_skye, biles_simone","roberson_joscelyn, biles_simone, lee_sunisa, blakely_skye","biles_simone, jones_shilese, blakely_skye, lee_sunisa","biles_simone, blakely_skye, lee_sunisa, jones_shilese"
"biles_simone","mc_callum","lee_sunisa","chiles_jordan","jones_shilese",3,1,0,250,4,"mc_callum, biles_simone, lee_sunisa, chiles_jordan","chiles_jordan, lee_sunisa, biles_simone, mc_callum","jones_shilese, mc_callum, lee_sunisa, biles_simone","biles_simone, chiles_jordan, lee_sunisa, mc_callum"
"biles_simone","skinner_mykayla","mc_callum","matthews_nola","jones_shilese",3,1,0,245,4,"skinner_mykayla, matthews_nola, jones_shilese, biles_simone","mc_callum, jones_shilese, biles_simone, skinner_mykayla","biles_simone, skinner_mykayla, matthews_nola, mc_callum","jones_shilese, mc_callum, biles_simone, matthews_nola"
"biles_simone","skinner_mykayla","lee_sunisa","miller_zoe","roberson_joscelyn",3,0,2,245,3,"roberson_joscelyn, lee_sunisa, biles_simone, skinner_mykayla","miller_zoe, biles_simone, roberson_joscelyn, lee_sunisa","miller_zoe, roberson_joscelyn, lee_sunisa, skinner_mykayla","lee_sunisa, roberson_joscelyn, miller_zoe, skinner_mykayla"
"biles_simone","skinner_mykayla","lee_sunisa","chiles_jordan","blakely_skye",3,1,1,243,4,"biles_simone, skinner_mykayla, chiles_jordan, blakely_skye","blakely_skye, lee_sunisa, skinner_mykayla, biles_simone","biles_simone, lee_sunisa, chiles_jordan, blakely_skye","lee_sunisa, chiles_jordan, skinner_mykayla, blakely_skye"
"biles_simone","mc_callum","lee_sunisa","miller_zoe","roberson_joscelyn",2,2,3,243,4,"lee_sunisa, miller_zoe, roberson_joscelyn, mc_callum","miller_zoe, lee_sunisa, mc_callum, roberson_joscelyn","lee_sunisa, biles_simone, mc_callum, roberson_joscelyn","roberson_joscelyn, biles_simone, mc_callum, lee_sunisa"
"lee_sunisa","blakely_skye","matthews_nola","jones_shilese","carey_jade",2,3,1,243,5,"carey_jade, jones_shilese, blakely_skye, lee_sunisa","matthews_nola, carey_jade, lee_sunisa, blakely_skye","blakely_skye, matthews_nola, jones_shilese, lee_sunisa","lee_sunisa, carey_jade, matthews_nola, blakely_skye"
"biles_simone","skinner_mykayla","mc_callum","miller_zoe","jones_shilese",2,2,1,240,4,"biles_simone, mc_callum, jones_shilese, miller_zoe","skinner_mykayla, jones_shilese, mc_callum, miller_zoe","jones_shilese, miller_zoe, mc_callum, skinner_mykayla","jones_shilese, mc_callum, biles_simone, miller_zoe"
"biles_simone","lee_sunisa","matthews_nola","jones_shilese","roberson_joscelyn",2,3,0,238,5,"biles_simone, matthews_nola, roberson_joscelyn, lee_sunisa","jones_shilese, matthews_nola, lee_sunisa, roberson_joscelyn","biles_simone, lee_sunisa, roberson_joscelyn, jones_shilese","lee_sunisa, roberson_joscelyn, biles_simone, jones_shilese"
"biles_simone","skinner_mykayla","lee_sunisa","blakely_skye","matthews_nola",2,2,2,236,4,"matthews_nola, skinner_mykayla, lee_sunisa, blakely_skye","lee_sunisa, biles_simone, skinner_mykayla, matthews_nola","biles_simone, matthews_nola, blakely_skye, lee_sunisa","skinner_mykayla, lee_sunisa, blakely_skye, matthews_nola"
"biles_simone","mc_callum","lee_sunisa","miller_zoe","jones_shilese",3,0,1,236,3,"biles_simone, jones_shilese, miller_zoe, lee_sunisa","jones_shilese, miller_zoe, lee_sunisa, mc_callum","biles_simone, lee_sunisa, mc_callum, jones_shilese","miller_zoe, biles_simone, mc_callum, jones_shilese"
"biles_simone","mc_callum","blakely_skye","matthews_nola","carey_jade",3,1,1,236,4,"carey_jade, biles_simone, blakely_skye, matthews_nola","mc_callum, carey_jade, blakely_skye, matthews_nola","mc_callum, blakely_skye, biles_simone, matthews_nola","carey_jade, mc_callum, matthews_nola, biles_simone"
"skinner_mykayla","lee_sunisa","miller_zoe","jones_shilese","carey_jade",2,2,1,235,4,"lee_sunisa, jones_shilese, miller_zoe, skinner_mykayla","carey_jade, skinner_mykayla, lee_sunisa, jones_shilese","carey_jade, jones_shilese, miller_zoe, skinner_mykayla","miller_zoe, carey_jade, skinner_mykayla, lee_sunisa"
"biles_simone","mc_callum","lee_sunisa","matthews_nola","roberson_joscelyn",1,4,1,234,5,"lee_sunisa, roberson_joscelyn, biles_simone, mc_callum","biles_simone, lee_sunisa, roberson_joscelyn, matthews_nola","matthews_nola, lee_sunisa, roberson_joscelyn, mc_callum","roberson_joscelyn, biles_simone, mc_callum, lee_sunisa"
"biles_simone","lee_sunisa","blakely_skye","miller_zoe","jones_shilese",3,0,1,234,3,"biles_simone, lee_sunisa, jones_shilese, miller_zoe","miller_zoe, blakely_skye, biles_simone, jones_shilese","jones_shilese, biles_simone, miller_zoe, lee_sunisa","miller_zoe, blakely_skye, lee_sunisa, jones_shilese"
"skinner_mykayla","mc_callum","lee_sunisa","chiles_jordan","matthews_nola",3,1,0,233,4,"chiles_jordan, skinner_mykayla, lee_sunisa, matthews_nola","chiles_jordan, mc_callum, skinner_mykayla, lee_sunisa","chiles_jordan, mc_callum, lee_sunisa, matthews_nola","lee_sunisa, mc_callum, matthews_nola, chiles_jordan"
"skinner_mykayla","lee_sunisa","chiles_jordan","miller_zoe","carey_jade",2,2,2,233,4,"lee_sunisa, carey_jade, chiles_jordan, miller_zoe","skinner_mykayla, chiles_jordan, carey_jade, lee_sunisa","chiles_jordan, skinner_mykayla, carey_jade, miller_zoe","lee_sunisa, miller_zoe, skinner_mykayla, carey_jade"
"biles_simone","lee_sunisa","matthews_nola","miller_zoe","jones_shilese",3,1,0,232,4,"miller_zoe, jones_shilese, biles_simone, lee_sunisa","lee_sunisa, matthews_nola, miller_zoe, biles_simone","jones_shilese, biles_simone, miller_zoe, matthews_nola","matthews_nola, miller_zoe, biles_simone, jones_shilese"
"biles_simone","skinner_mykayla","mc_callum","matthews_nola","miller_zoe",3,1,0,231,4,"skinner_mykayla, matthews_nola, miller_zoe, biles_simone","matthews_nola, mc_callum, skinner_mykayla, biles_simone","miller_zoe, mc_callum, matthews_nola, biles_simone","matthews_nola, skinner_mykayla, mc_callum, biles_simone"
"biles_simone","skinner_mykayla","blakely_skye","jones_shilese","roberson_joscelyn",3,1,0,231,4,"jones_shilese, skinner_mykayla, blakely_skye, roberson_joscelyn","blakely_skye, biles_simone, skinner_mykayla, jones_shilese","skinner_mykayla, biles_simone, roberson_joscelyn, blakely_skye","jones_shilese, skinner_mykayla, roberson_joscelyn, blakely_skye"
"biles_simone","mc_callum","blakely_skye","miller_zoe","carey_jade",2,3,0,229,5,"blakely_skye, miller_zoe, carey_jade, biles_simone","miller_zoe, carey_jade, biles_simone, mc_callum","carey_jade, miller_zoe, biles_simone, mc_callum","carey_jade, mc_callum, miller_zoe, biles_simone"
"biles_simone","mc_callum","jones_shilese","carey_jade","roberson_joscelyn",3,0,1,229,3,"biles_simone, carey_jade, roberson_joscelyn, mc_callum","mc_callum, carey_jade, biles_simone, jones_shilese","biles_simone, mc_callum, roberson_joscelyn, carey_jade","biles_simone, roberson_joscelyn, mc_callum, jones_shilese"
"skinner_mykayla","mc_callum","lee_sunisa","matthews_nola","roberson_joscelyn",3,1,1,229,4,"skinner_mykayla, matthews_nola, roberson_joscelyn, lee_sunisa","matthews_nola, skinner_mykayla, roberson_joscelyn, mc_callum","skinner_mykayla, mc_callum, matthews_nola, lee_sunisa","skinner_mykayla, roberson_joscelyn, mc_callum, lee_sunisa"
"biles_simone","matthews_nola","jones_shilese","carey_jade","roberson_joscelyn",1,3,1,228,4,"jones_shilese, carey_jade, biles_simone, roberson_joscelyn","biles_simone, carey_jade, matthews_nola, roberson_joscelyn","carey_jade, matthews_nola, biles_simone, jones_shilese","matthews_nola, roberson_joscelyn, jones_shilese, biles_simone"
"biles_simone","skinner_mykayla","miller_zoe","jones_shilese","roberson_joscelyn",2,2,1,226,4,"jones_shilese, biles_simone, roberson_joscelyn, skinner_mykayla","roberson_joscelyn, biles_simone, skinner_mykayla, jones_shilese","miller_zoe, roberson_joscelyn, skinner_mykayla, jones_shilese","miller_zoe, skinner_mykayla, jones_shilese, biles_simone"
"biles_simone","chiles_jordan","matthews_nola","jones_shilese","carey_jade",3,0,2,225,3,"jones_shilese, biles_simone, matthews_nola, chiles_jordan","jones_shilese, matthews_nola, chiles_jordan, biles_simone","matthews_nola, biles_simone, jones_shilese, chiles_jordan","jones_shilese, biles_simone, carey_jade, chiles_jordan"
"skinner_mykayla","mc_callum","miller_zoe","jones_shilese","carey_jade",2,2,0,225,4,"carey_jade, jones_shilese, miller_zoe, skinner_mykayla","skinner_mykayla, carey_jade, miller_zoe, mc_callum","skinner_mykayla, mc_callum, miller_zoe, carey_jade","carey_jade, skinner_mykayla, mc_callum, miller_zoe"
"biles_simone","mc_callum","matthews_nola","miller_zoe","jones_shilese",2,2,1,224,4,"jones_shilese, biles_simone, miller_zoe, matthews_nola","matthews_nola, biles_simone, jones_shilese, miller_zoe","matthews_nola, mc_callum, biles_simone, miller_zoe","jones_shilese, biles_simone, miller_zoe, mc_callum"
"biles_simone","skinner_mykayla","mc_callum","blakely_skye","carey_jade",2,2,1,223,4,"mc_callum, biles_simone, skinner_mykayla, carey_jade","carey_jade, biles_simone, blakely_skye, mc_callum","biles_simone, blakely_skye, carey_jade, skinner_mykayla","mc_callum, carey_jade, skinner_mykayla, biles_simone"
"biles_simone","mc_callum","lee_sunisa","matthews_nola","carey_jade",2,2,2,223,4,"mc_callum, matthews_nola, lee_sunisa, carey_jade","biles_simone, lee_sunisa, carey_jade, mc_callum","mc_callum, matthews_nola, lee_sunisa, carey_jade","matthews_nola, mc_callum, biles_simone, lee_sunisa"
"biles_simone","lee_sunisa","chiles_jordan","matthews_nola","miller_zoe",2,2,1,223,4,"biles_simone, chiles_jordan, matthews_nola, lee_sunisa","chiles_jordan, miller_zoe, lee_sunisa, matthews_nola","biles_simone, chiles_jordan, matthews_nola, lee_sunisa","miller_zoe, lee_sunisa, chiles_jordan, biles_simone"
"biles_simone","lee_sunisa","chiles_jordan","jones_shilese","roberson_joscelyn",2,2,0,223,4,"roberson_joscelyn, chiles_jordan, lee_sunisa, biles_simone","jones_shilese, lee_sunisa, biles_simone, chiles_jordan","biles_simone, jones_shilese, lee_sunisa, roberson_joscelyn","jones_shilese, biles_simone, roberson_joscelyn, chiles_jordan"
"biles_simone","mc_callum","lee_sunisa","chiles_jordan","blakely_skye",3,0,1,221,3,"lee_sunisa, chiles_jordan, mc_callum, blakely_skye","lee_sunisa, chiles_jordan, biles_simone, mc_callum","biles_simone, chiles_jordan, blakely_skye, mc_callum","lee_sunisa, chiles_jordan, biles_simone, mc_callum"
"biles_simone","skinner_mykayla","chiles_jordan","jones_shilese","roberson_joscelyn",2,1,2,219,3,"skinner_mykayla, biles_simone, jones_shilese, roberson_joscelyn","chiles_jordan, skinner_mykayla, biles_simone, jones_shilese","chiles_jordan, skinner_mykayla, roberson_joscelyn, biles_simone","biles_simone, skinner_mykayla, jones_shilese, chiles_jordan"
"skinner_mykayla","mc_callum","lee_sunisa","matthews_nola","jones_shilese",1,4,0,219,5,"skinner_mykayla, jones_shilese, lee_sunisa, mc_callum","mc_callum, jones_shilese, lee_sunisa, skinner_mykayla","skinner_mykayla, matthews_nola, lee_sunisa, mc_callum","lee_sunisa, mc_callum, matthews_nola, skinner_mykayla"
"biles_simone","skinner_mykayla","mc_callum","carey_jade","roberson_joscelyn",2,1,2,218,3,"skinner_mykayla, biles_simone, roberson_joscelyn, carey_jade","biles_simone, mc_callum, roberson_joscelyn, carey_jade","carey_jade, roberson_joscelyn, biles_simone, skinner_mykayla","roberson_joscelyn, mc_callum, biles_simone, carey_jade"
"biles_simone","skinner_mykayla","lee_sunisa","blakely_skye","carey_jade",1,3,1,218,4,"carey_jade, lee_sunisa, biles_simone, skinner_mykayla","carey_jade, biles_simone, blakely_skye, lee_sunisa","lee_sunisa, skinner_mykayla, carey_jade, biles_simone","biles_simone, blakely_skye, skinner_mykayla, lee_sunisa"
"biles_simone","mc_callum","lee_sunisa","jones_shilese","carey_jade",2,0,2,217,2,"mc_callum, lee_sunisa, jones_shilese, carey_jade","jones_shilese, lee_sunisa, carey_jade, biles_simone","carey_jade, biles_simone, mc_callum, jones_shilese","jones_shilese, biles_simone, carey_jade, mc_callum"
"biles_simone","mc_callum","chiles_jordan","matthews_nola","jones_shilese",2,2,0,217,4,"biles_simone, mc_callum, matthews_nola, chiles_jordan","biles_simone, chiles_jordan, matthews_nola, jones_shilese","chiles_jordan, jones_shilese, matthews_nola, biles_simone","matthews_nola, jones_shilese, mc_callum, chiles_jordan"
"biles_simone","lee_sunisa","blakely_skye","matthews_nola","roberson_joscelyn",2,2,1,217,4,"biles_simone, lee_sunisa, roberson_joscelyn, matthews_nola","roberson_joscelyn, blakely_skye, lee_sunisa, biles_simone","blakely_skye, matthews_nola, biles_simone, lee_sunisa","matthews_nola, blakely_skye, biles_simone, lee_sunisa"
"biles_simone","skinner_mykayla","matthews_nola","jones_shilese","carey_jade",2,1,3,216,3,"jones_shilese, skinner_mykayla, matthews_nola, biles_simone","biles_simone, matthews_nola, skinner_mykayla, carey_jade","jones_shilese, skinner_mykayla, biles_simone, matthews_nola","matthews_nola, biles_simone, jones_shilese, carey_jade"
"biles_simone","mc_callum","blakely_skye","jones_shilese","roberson_joscelyn",3,0,2,216,3,"mc_callum, blakely_skye, roberson_joscelyn, jones_shilese","mc_callum, roberson_joscelyn, jones_shilese, blakely_skye","blakely_skye, biles_simone, roberson_joscelyn, jones_shilese","roberson_joscelyn, jones_shilese, mc_callum, blakely_skye"
"biles_simone","skinner_mykayla","lee_sunisa","chiles_jordan","carey_jade",2,1,2,215,3,"biles_simone, skinner_mykayla, chiles_jordan, carey_jade","lee_sunisa, carey_jade, skinner_mykayla, biles_simone","chiles_jordan, skinner_mykayla, carey_jade, biles_simone","skinner_mykayla, chiles_jordan, lee_sunisa, biles_simone"
"biles_simone","lee_sunisa","miller_zoe","jones_shilese","carey_jade",3,0,1,215,3,"biles_simone, lee_sunisa, carey_jade, miller_zoe","jones_shilese, carey_jade, lee_sunisa, miller_zoe","biles_simone, lee_sunisa, carey_jade, miller_zoe","carey_jade, miller_zoe, lee_sunisa, biles_simone"
"biles_simone","chiles_jordan","matthews_nola","jones_shilese","roberson_joscelyn",2,2,1,215,4,"jones_shilese, roberson_joscelyn, matthews_nola, chiles_jordan","biles_simone, roberson_joscelyn, jones_shilese, chiles_jordan","jones_shilese, roberson_joscelyn, matthews_nola, chiles_jordan","jones_shilese, roberson_joscelyn, biles_simone, matthews_nola"
"biles_simone","skinner_mykayla","lee_sunisa","matthews_nola","miller_zoe",2,1,3,214,3,"biles_simone, skinner_mykayla, matthews_nola, lee_sunisa","matthews_nola, miller_zoe, skinner_mykayla, biles_simone","skinner_mykayla, miller_zoe, matthews_nola, lee_sunisa","lee_sunisa, miller_zoe, matthews_nola, biles_simone"
"biles_simone","skinner_mykayla","lee_sunisa","miller_zoe","jones_shilese",1,3,1,214,4,"biles_simone, skinner_mykayla, jones_shilese, miller_zoe","skinner_mykayla, miller_zoe, lee_sunisa, biles_simone","miller_zoe, lee_sunisa, biles_simone, skinner_mykayla","miller_zoe, lee_sunisa, jones_shilese, biles_simone"
"biles_simone","mc_callum","lee_sunisa","chiles_jordan","roberson_joscelyn",2,1,2,214,3,"roberson_joscelyn, biles_simone, mc_callum, chiles_jordan","chiles_jordan, roberson_joscelyn, lee_sunisa, mc_callum","roberson_joscelyn, mc_callum, chiles_jordan, lee_sunisa","chiles_jordan, biles_simone, mc_callum, lee_sunisa"
"biles_simone","chiles_jordan","blakely_skye","miller_zoe","carey_jade",3,0,2,214,3,"chiles_jordan, miller_zoe, blakely_skye, biles_simone","biles_simone, carey_jade, blakely_skye, miller_zoe","blakely_skye, carey_jade, biles_simone, chiles_jordan","blakely_skye, biles_simone, carey_jade, miller_zoe"
"biles_simone","skinner_mykayla","mc_callum","lee_sunisa","carey_jade",2,1,0,213,3,"carey_jade, skinner_mykayla, lee_sunisa, mc_callum","biles_simone, mc_callum, carey_jade, lee_sunisa","carey_jade, skinner_mykayla, mc_callum, biles_simone","carey_jade, biles_simone, lee_sunisa, skinner_mykayla"
"lee_sunisa","matthews_nola","miller_zoe","jones_shilese","carey_jade",3,0,1,213,3,"lee_sunisa, carey_jade, matthews_nola, jones_shilese","matthews_nola, jones_shilese, carey_jade, miller_zoe","lee_sunisa, jones_shilese, carey_jade, matthews_nola","lee_sunisa, jones_shilese, matthews_nola, carey_jade"
"biles_simone","skinner_mykayla","chiles_jordan","blakely_skye","jones_shilese",2,2,0,212,4,"biles_simone, chiles_jordan, blakely_skye, jones_shilese","chiles_jordan, jones_shilese, skinner_mykayla, blakely_skye","chiles_jordan, biles_simone, skinner_mykayla, jones_shilese","blakely_skye, chiles_jordan, jones_shilese, biles_simone"
"biles_simone","mc_callum","matthews_nola","jones_shilese","carey_jade",3,0,1,211,3,"matthews_nola, biles_simone, carey_jade, mc_callum","biles_simone, mc_callum, jones_shilese, carey_jade","mc_callum, biles_simone, carey_jade, matthews_nola","biles_simone, jones_shilese, matthews_nola, carey_jade"
"biles_simone","lee_sunisa","chiles_jordan","blakely_skye","jones_shilese",2,1,2,211,3,"blakely_skye, lee_sunisa, jones_shilese, chiles_jordan","chiles_jordan, lee_sunisa, biles_simone, jones_shilese","chiles_jordan, blakely_skye, lee_sunisa, biles_simone","lee_sunisa, biles_simone, blakely_skye, jones_shilese"
"biles_simone","skinner_mykayla","mc_callum","chiles_jordan","matthews_nola",2,2,1,210,4,"chiles_jordan, mc_callum, matthews_nola, biles_simone","matthews_nola, chiles_jordan, biles_simone, skinner_mykayla","skinner_mykayla, mc_callum, biles_simone, matthews_nola","mc_callum, biles_simone, skinner_mykayla, matthews_nola"
"biles_simone","lee_sunisa","blakely_skye","miller_zoe","roberson_joscelyn",2,1,2,210,3,"biles_simone, miller_zoe, lee_sunisa, roberson_joscelyn","roberson_joscelyn, blakely_skye, biles_simone, lee_sunisa","lee_sunisa, miller_zoe, roberson_joscelyn, blakely_skye","lee_sunisa, miller_zoe, roberson_joscelyn, biles_simone"
"biles_simone","lee_sunisa","blakely_skye","matthews_nola","carey_jade",3,0,0,209,3,"matthews_nola, biles_simone, carey_jade, blakely_skye","matthews_nola, blakely_skye, biles_simone, carey_jade","matthews_nola, blakely_skye, carey_jade, lee_sunisa","biles_simone, carey_jade, matthews_nola, blakely_skye"
"lee_sunisa","chiles_jordan","matthews_nola","miller_zoe","carey_jade",2,2,1,209,4,"carey_jade, miller_zoe, matthews_nola, chiles_jordan","chiles_jordan, lee_sunisa, miller_zoe, carey_jade","carey_jade, miller_zoe, lee_sunisa, chiles_jordan","lee_sunisa, miller_zoe, matthews_nola, chiles_jordan"
"biles_simone","skinner_mykayla","mc_callum","matthews_nola","roberson_joscelyn",2,2,2,208,4,"roberson_joscelyn, mc_callum, biles_simone, skinner_mykayla","mc_callum, skinner_mykayla, roberson_joscelyn, biles_simone","skinner_mykayla, matthews_nola, biles_simone, mc_callum","mc_callum, skinner_mykayla, biles_simone, roberson_joscelyn"
"biles_simone","lee_sunisa","jones_shilese","carey_jade","roberson_joscelyn",1,3,0,208,4,"biles_simone, lee_sunisa, carey_jade, jones_shilese","biles_simone, jones_shilese, carey_jade, roberson_joscelyn","jones_shilese, biles_simone, lee_sunisa, roberson_joscelyn","jones_shilese, biles_simone, roberson_joscelyn, lee_sunisa"
"biles_simone","skinner_mykayla","mc_callum","blakely_skye","miller_zoe",2,1,1,207,3,"mc_callum, skinner_mykayla, blakely_skye, miller_zoe","skinner_mykayla, mc_callum, blakely_skye, miller_zoe","mc_callum, blakely_skye, biles_simone, miller_zoe","miller_zoe, blakely_skye, skinner_mykayla, mc_callum"
"biles_simone","miller_zoe","jones_shilese","carey_jade","roberson_joscelyn",1,3,2,207,4,"biles_simone, miller_zoe, carey_jade, roberson_joscelyn","biles_simone, carey_jade, jones_shilese, miller_zoe","jones_shilese, carey_jade, miller_zoe, roberson_joscelyn","miller_zoe, jones_shilese, biles_simone, carey_jade"
"biles_simone","mc_callum","lee_sunisa","jones_shilese","roberson_joscelyn",1,3,2,206,4,"roberson_joscelyn, jones_shilese, mc_callum, biles_simone","lee_sunisa, mc_callum, roberson_joscelyn, biles_simone","jones_shilese, roberson_joscelyn, lee_sunisa, biles_simone","biles_simone, roberson_joscelyn, lee_sunisa, mc_callum"
"biles_simone","lee_sunisa","chiles_jordan","blakely_skye","miller_zoe",1,3,1,206,4,"blakely_skye, miller_zoe, lee_sunisa, biles_simone","miller_zoe, biles_simone, blakely_skye, chiles_jordan","blakely_skye, miller_zoe, lee_sunisa, chiles_jordan","biles_simone, chiles_jordan, blakely_skye, lee_sunisa"
"biles_simone","skinner_mykayla","lee_sunisa","matthews_nola","roberson_joscelyn",2,1,1,205,3,"matthews_nola, biles_simone, skinner_mykayla, lee_sunisa","roberson_joscelyn, matthews_nola, biles_simone, lee_sunisa","lee_sunisa, matthews_nola, skinner_mykayla, roberson_joscelyn","lee_sunisa, roberson_joscelyn, matthews_nola, biles_simone"
"biles_simone","lee_sunisa","matthews_nola","carey_jade","roberson_joscelyn",2,1,3,205,3,"biles_simone, matthews_nola, roberson_joscelyn, carey_jade","carey_jade, matthews_nola, lee_sunisa, roberson_joscelyn","lee_sunisa, matthews_nola, roberson_joscelyn, carey_jade","matthews_nola, biles_simone, carey_jade, lee_sunisa"
"lee_sunisa","blakely_skye","matthews_nola","miller_zoe","jones_shilese",2,1,2,205,3,"blakely_skye, jones_shilese, matthews_nola, lee_sunisa","miller_zoe, lee_sunisa, matthews_nola, blakely_skye","matthews_nola, lee_sunisa, miller_zoe, jones_shilese","lee_sunisa, jones_shilese, miller_zoe, blakely_skye"
"blakely_skye","matthews_nola","miller_zoe","carey_jade","roberson_joscelyn",3,1,1,205,4,"blakely_skye, miller_zoe, roberson_joscelyn, matthews_nola","roberson_joscelyn, blakely_skye, miller_zoe, carey_jade","miller_zoe, blakely_skye, carey_jade, matthews_nola","matthews_nola, miller_zoe, blakely_skye, carey_jade"
"biles_simone","skinner_mykayla","mc_callum","chiles_jordan","miller_zoe",2,1,2,204,3,"biles_simone, chiles_jordan, mc_callum, skinner_mykayla","chiles_jordan, skinner_mykayla, mc_callum, biles_simone","mc_callum, skinner_mykayla, biles_simone, miller_zoe","skinner_mykayla, biles_simone, miller_zoe, chiles_jordan"
"biles_simone","skinner_mykayla","lee_sunisa","blakely_skye","miller_zoe",2,1,2,204,3,"skinner_mykayla, lee_sunisa, miller_zoe, biles_simone","miller_zoe, biles_simone, blakely_skye, skinner_mykayla","biles_simone, skinner_mykayla, lee_sunisa, blakely_skye","lee_sunisa, skinner_mykayla, blakely_skye, miller_zoe"
